dataset,seed,method,accuracy,brier,nll,ece,rank_rate,max_rank_violation,col_total_error
digits,0,original,0.9759036144578314,0.11186376617581435,0.31208700725182476,0.21267068273092363,1.0,0.0,86.81657779012036
digits,0,logit_shift,0.9477911646586346,0.11599335400611353,0.2998787511842868,0.15768862324999144,0.9486582143463189,0.29154923158389334,54.485956354083854
digits,0,rpc_strict,,,,,,,
digits,0,rpc_eps_0.02,0.9698795180722891,0.16149723042452163,0.37878950176388054,0.256530047894,0.7918385816909489,0.02000000000000135,4.973799150320701e-13
digits,1,original,0.9644970414201184,0.11637961867192638,0.3176714438080906,0.19240631163708088,1.0,0.0,91.74161482517624
digits,1,logit_shift,0.893491124260355,0.16440814237141868,0.330268817396125,0.08272303867790821,0.9214668235211491,0.48071047115401877,45.86938092257705
digits,1,rpc_strict,,,,,,,
digits,1,rpc_eps_0.02,0.8609467455621301,0.2758507544338403,0.5440432298573861,0.203927020054757,0.7816392463961512,0.020000000000000573,5.684341886080802e-14
digits,2,original,0.9702970297029703,0.10397301063439678,0.29746892301951383,0.1999779977997799,1.0,0.0,84.44773030668432
digits,2,logit_shift,0.9174917491749175,0.1487204153054482,0.33120622035281116,0.10353118436641834,0.8950320197582672,0.4564689802412986,52.392412161393736
digits,2,rpc_strict,,,,,,,
digits,2,rpc_eps_0.02,,,,,,,
digits,3,original,0.9692737430167597,0.15368280571073867,0.3952088474871783,0.2493202979515829,1.0,0.0,127.49504177367973
digits,3,logit_shift,0.8966480446927374,0.21276908683927084,0.4695571524868527,0.16259145708818848,0.9152919268265965,0.4907847968989345,69.27565084982787
digits,3,rpc_strict,,,,,,,
digits,3,rpc_eps_0.02,0.7625698324022346,0.3832465528789097,0.6439093431893128,0.18757101882735586,0.7627654413720796,0.020000000000000462,1.9895196601282805e-13
digits,4,original,0.9766763848396501,0.14057797214123743,0.3737842767537329,0.24924198250728857,1.0,0.0,57.621509137949886
digits,4,logit_shift,0.9475218658892128,0.13753812380219382,0.3249291801284319,0.1617559097257823,0.9308083133002575,0.6346154087887571,23.858498618455428
digits,4,rpc_strict,,,,,,,
digits,4,rpc_eps_0.02,0.9737609329446064,0.1946832092159467,0.4301054893176155,0.29757818852437484,0.7421888053467001,0.020000000000000462,8.526512829121202e-14
wine,0,original,1.0,0.06022732240437159,0.13822159876250284,0.11650273224043717,1.0,0.0,6.308305330104961
wine,0,logit_shift,0.9836065573770492,0.05096765989132871,0.12259903722943243,0.08794069689713409,0.9914389799635701,0.022157763197581448,4.265429175609242
wine,0,rpc_strict,0.9836065573770492,0.06488493190759359,0.17667979067212977,0.13595737183153062,1.0,0.0,1.0658141036401503e-14
wine,0,rpc_eps_0.02,0.9836065573770492,0.0646785520950817,0.17291897256166563,0.13016323746973357,0.9387978142076503,0.020000000000000018,1.0658141036401503e-14
wine,1,original,1.0,0.026993086419753082,0.09095900352624574,0.08140740740740762,1.0,0.0,6.59464633684496
wine,1,logit_shift,0.9777777777777777,0.03919250841362387,0.07419050105103647,0.03217349744334802,0.9875420875420875,0.2081673544642708,4.34848307826706
wine,1,rpc_strict,0.9777777777777777,0.06434159351967099,0.14300232600715818,0.12239413734441307,1.0,0.0,1.0658141036401503e-14
wine,1,rpc_eps_0.02,1.0,0.06394658767064176,0.14163095037247014,0.12135042020341505,0.8791245791245791,0.020000000000000018,7.105427357601002e-15
wine,2,original,1.0,0.05333944444444445,0.16258515536448792,0.14208333333333342,1.0,0.0,8.29233191126135
wine,2,logit_shift,0.825,0.12670859678441532,0.19183985494876166,0.12387043345541421,0.9722222222222222,0.05314135488039538,1.3601801603232104
wine,2,rpc_strict,0.825,0.1533046273953011,0.2216638145810032,0.06763846094755208,1.0,0.0,1.4210854715202004e-14
wine,2,rpc_eps_0.02,0.9,0.13588973381089664,0.19802412540498074,0.036679458714626606,0.8730769230769231,0.02000000000000002,2.1316282072803006e-14
wine,3,original,1.0,0.055947222222222225,0.14470487776844768,0.1228125,1.0,0.0,9.45654275093132
wine,3,logit_shift,0.96875,0.039735963736452204,0.09075974744524198,0.0766014863990393,0.9583333333333334,0.37586848244625515,5.610681951175315
wine,3,rpc_strict,0.75,0.22172732928926464,0.308148073786618,0.062130213589778896,1.0,0.0,1.0658141036401503e-14
wine,3,rpc_eps_0.02,0.8125,0.21936292656882234,0.30594361327904407,0.1164500046222309,0.803763440860215,0.020000000000000018,7.105427357601002e-15
wine,4,original,1.0,0.046478362573099424,0.1569461819505234,0.14052631578947372,1.0,0.0,2.5428774125133273
wine,4,logit_shift,1.0,1.2956660105775542e-06,0.000659581975638038,0.0006592578051987097,0.9746588693957114,6.494686078617473e-05,0.11459668918789845
wine,4,rpc_strict,1.0,0.0008635143849122709,0.006920204535442968,0.006690662499298498,1.0,0.0,7.105427357601002e-15
wine,4,rpc_eps_0.02,1.0,0.0008635143849122746,0.006920204535443011,0.006690662499298739,0.8031189083820662,2.220446049250313e-16,3.552713678800501e-15
